
# number of atoms and geometry (in a.u.)
    3
    O       0.000000000000       0.000000000000      -0.736439502472
    H      -1.445931510274       0.000000000000       0.368218806373
    H       1.445931510274       0.000000000000       0.368218806373

# number of quasi-relativistic states and their energies (in a.u.)
   12
    1     -75.721977214741
    2     -75.721977214741
    3     -75.636882249981
    4     -75.636882249981
    5     -75.457675023492
    6     -75.457675023492
    7     -75.190315358669
    8     -75.190315358668
    9     -75.181295094134
   10     -75.181295094134
   11     -75.125026321385
   12     -75.125026321385

# magnetic moment matrix elements '1/2 * (g_e * S + L)' (in a.u.; x,y,z order; (real,imag) format)
    1    1     ( -1.141059374341e-09 , -1.292469707114e-26 ) ( -6.333566960068e-11 , -3.771747153929e-27 ) ( -5.088183822295e-01 , -9.860761315263e-32 )
    1    2     (  5.374670903680e-01 , -5.103346828613e-14 ) ( -4.595540487579e-14 ,  4.993722242650e-01 ) ( -1.080230157820e-09 , -6.437751795449e-11 )
    1    3     (  3.092038322511e-11 , -5.465591737113e-10 ) (  3.357774767884e-11 ,  2.214886433187e-12 ) (  5.337690645129e-14 ,  4.511558401255e-02 )
    1    4     (  4.754951819199e-14 ,  4.875438340827e-01 ) (  3.351157184963e-02 , -5.704936692816e-13 ) ( -2.744991314865e-12 ,  5.107681989730e-11 )
    1    5     (  2.411716970340e-13 , -4.046897473160e-12 ) (  6.855427487526e-12 ,  4.271501686285e-12 ) (  2.388730569234e-17 ,  4.749080435393e-01 )
    1    6     ( -3.819083025918e-14 , -3.559703311168e-03 ) ( -6.696327909058e-03 , -8.645498027541e-15 ) (  2.547945182904e-11 , -5.201262928265e-10 )
    1    7     (  1.045144802438e-04 , -4.621224064014e-04 ) (  3.933267683382e-05 ,  8.895554339658e-06 ) ( -3.907239557633e-15 , -2.948881605925e-03 )
    1    8     ( -8.434048573645e-14 ,  3.373131111535e-02 ) ( -2.870977517305e-03 ,  1.143353822251e-14 ) ( -9.136935545510e-06 , -4.039997671283e-05 )
    1    9     ( -6.548288524069e-03 , -1.338816034679e-12 ) (  1.130412284050e-12 , -5.872188502876e-04 ) ( -5.553470658738e-05 , -1.912570031382e-05 )
    1   10     ( -3.072854176068e-03 ,  1.058265941271e-03 ) ( -9.490017178086e-05 , -2.755586957563e-04 ) (  1.183451141803e-04 ,  2.767666604052e-14 )
    1   11     ( -3.880964144060e-07 ,  6.460102038232e-10 ) ( -9.313109209276e-11 , -5.593462622629e-08 ) (  1.373793996040e-04 ,  1.902327207037e-14 )
    1   12     (  4.985425383964e-04 ,  3.591011812282e-17 ) ( -2.748712629301e-15 ,  7.185916348579e-05 ) (  1.069446110262e-07 ,  1.780731821447e-10 )
    2    1     (  5.374670903680e-01 ,  5.103346828613e-14 ) ( -4.595540487579e-14 , -4.993722242650e-01 ) ( -1.080230157820e-09 ,  6.437751795449e-11 )
    2    2     (  1.141075703137e-09 ,  0.000000000000e+00 ) (  6.333550649515e-11 , -1.862487795299e-26 ) (  5.088183822295e-01 ,  1.183291357832e-30 )
    2    3     ( -4.528895405624e-14 ,  4.875438340827e-01 ) ( -3.351157184964e-02 , -6.013814334595e-13 ) (  2.744989123275e-12 ,  5.107667408419e-11 )
    2    4     (  3.092037192201e-11 ,  5.465576967866e-10 ) (  3.357158420150e-11 , -2.214972930183e-12 ) (  5.920835102291e-14 , -4.511558401256e-02 )
    2    5     (  1.271903182139e-14 ,  3.559703311148e-03 ) ( -6.696327909070e-03 , -3.781122050417e-14 ) (  2.547913836309e-11 ,  5.201398509757e-10 )
    2    6     ( -2.416160094375e-13 , -4.060916421952e-12 ) ( -6.863359285714e-12 ,  4.271301243399e-12 ) ( -4.527082942908e-16 ,  4.749080435393e-01 )
